stichtag;kreis_id;kreis_name;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;m�nnlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
stichtag;kreis_id;kreis_name;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2024;05366;Euskirchen, Landkreis;2678;3086;4126;4915;3035;2082;5360;5681;6197;6681;6248;5842;6273;8477;8555;12671;8816;2425;2857;3980;4489;2781;1825;4382;4895;5777;6373;6188;5865;6526;8858;8936;13375;12354
31.12.2024;05370;Heinsberg, Landkreis;3533;4006;5348;6228;3942;2791;6699;7441;8469;8690;8439;7498;8220;11072;11148;15973;11196;3360;3696;5235;6107;3627;2419;5614;6462;7939;8665;8349;7704;8574;11018;11315;16967;15937
31.12.2024;05374;Oberbergischer Kreis;3831;4319;5752;6825;4052;2767;7166;7623;8401;8881;8460;7739;8262;11483;11447;16067;11962;3651;4178;5734;6603;4096;2583;6229;6810;7840;8598;8647;7983;8584;11702;11359;17344;17079
31.12.2024;05378;Rheinisch-Bergischer Kreis;3698;4064;5630;7008;4158;2829;6700;7019;7667;8587;8691;8009;9197;12428;12058;16173;14295;3408;4024;5518;6457;4022;2573;5846;6222;7670;9031;9244;8588;9512;13143;12278;17857;20669
31.12.2024;05382;Rhein-Sieg-Kreis;7794;8977;12667;15423;9502;6437;15808;16587;17494;19294;19207;17492;18739;25420;24371;33948;28467;7615;8335;11794;14061;8612;5618;13686;14600;16965;19109;19862;18580;19890;26029;25445;38038;39575
31.12.2024;05512;Bottrop, kreisfreie Stadt;1606;1732;2331;2738;1625;1069;2910;3335;3716;3982;3631;3452;3700;4773;4606;7169;5240;1489;1723;2216;2537;1587;947;2662;3076;3544;3839;3640;3431;3820;5014;4964;8322;8109
31.12.2024;05513;Gelsenkirchen, kreisfreie Stadt;4283;4602;6096;7130;4417;3017;7811;8640;9345;9066;8349;8007;8584;10177;9433;13692;9901;4071;4395;5857;6647;4046;2777;7340;8036;8489;8638;8311;7889;8522;9637;9618;15450;15657
31.12.2024;05515;M�nster, kreisfreie Stadt;3846;4023;5627;6498;4000;3347;13063;14533;12104;10258;9165;8129;8313;10258;9456;13869;10974;3688;3762;5178;6065;3593;3584;17779;15305;11597;9971;9386;8443;8570;10673;10436;15613;17152
31.12.2024;05554;Borken, Landkreis;5588;6288;8255;9528;6097;4063;10692;11844;12930;12803;11830;10941;12207;16425;15512;20919;14757;5415;6093;7846;9526;5794;3589;8776;9999;11693;11954;11696;11015;12219;16114;15603;21974;20811
31.12.2024;05558;Coesfeld, Landkreis;3152;3595;4721;5512;3436;2268;5922;6270;6907;7354;7056;6491;7041;9640;9311;13817;10093;3034;3446;4764;5196;3203;2110;4785;5380;6341;7086;6968;6535;7355;10071;9923;14977;14099
31.12.2024;05562;Recklinghausen, Landkreis;8422;9271;12650;14966;9253;6224;15491;17159;19108;19906;19005;17905;19614;25336;24323;37121;27691;7987;8703;11883;13915;8434;5397;13721;15672;18108;19639;19143;18266;20553;26134;25784;42661;41860
31.12.2024;05566;Steinfurt, Landkreis;6336;7178;9604;11272;7091;5067;12900;13964;14192;14835;14096;12813;14645;19723;18403;25041;18029;6318;6760;9070;10615;6412;4355;10753;11764;12947;14139;14018;12935;14893;19328;18392;27117;26707
31.12.2024;05570;Warendorf, Landkreis;3925;4465;5880;7074;4403;3087;7555;7734;8362;9097;8746;8194;9226;12112;11195;16276;12611;3650;4225;5595;6614;4097;2733;6616;7096;7851;8835;8719;8415;9340;11826;11633;17805;17647
31.12.2024;05711;Bielefeld, kreisfreie Stadt;4700;4918;6589;7989;4979;3573;10337;12364;12102;11309;10489;9600;10235;12023;11051;15473;13280;4430;4795;6361;7562;4711;3491;11579;12441;11282;10886;10549;9831;10497;11805;11683;18178;20513
31.12.2024;05754;G�tersloh, Landkreis;5377;5716;7698;9096;5816;4086;10253;10963;11638;12384;11807;10974;11983;15278;14251;19418;14839;4852;5402;7257;8691;5309;3541;8852;9579;10319;11169;11432;10968;12318;15320;14579;20990;21827
31.12.2024;05758;Herford, Landkreis;3206;3770;5135;6132;3982;2651;6873;7324;7634;8264;7842;7436;7978;10344;10112;14596;11979;3124;3706;5056;6159;3733;2520;5539;6069;7159;7854;7972;7590;8480;10694;10775;15756;16960
31.12.2024;05762;H�xter, Landkreis;1763;1999;2704;3309;2171;1453;3801;4096;4119;4269;4066;3835;4236;6007;5980;9185;6592;1739;1909;2584;3082;1990;1270;2892;3230;3698;4117;4038;3920;4537;5826;5976;9510;9349
31.12.2024;05766;Lippe, Landkreis;5015;5309;7490;8930;5592;3735;9396;9805;10373;10912;10281;9187;10449;13894;13765;20257;16263;4555;5107;7037;8424;5200;3441;8055;8788;9754;10444;10217;9773;10760;14286;14283;22354;24018
31.12.2024;05770;Minden-L�bbecke, Landkreis;4368;5017;6817;8079;5122;3533;8506;9209;10122;10501;9800;9119;10087;12887;12883;18516;14461;4099;4609;6297;7924;4773;3141;7427;8330;9198;9565;9441;8915;10279;13068;13230;20145;21089
31.12.2024;05774;Paderborn, Landkreis;4490;4980;6639;7921;4999;3590;10112;11321;11155;11077;10299;9229;9620;12056;11627;17233;11854;4099;4604;6196;7472;4556;3152;9604;9842;9961;10148;9550;9129;9897;11817;11893;18669;17121
31.12.2024;05911;Bochum, kreisfreie Stadt;4565;4825;6523;7774;4665;3349;11044;14041;13959;12460;11577;9992;10632;13626;12698;19252;15548;4353;4650;6265;7320;4186;3184;11400;12785;12328;11683;11154;9905;10588;13526;13281;21747;23791
31.12.2024;05913;Dortmund, kreisfreie Stadt;8507;9132;12183;14209;8881;6124;18394;23119;22687;20977;19541;17802;18969;23015;20954;29507;23859;8094;8550;11831;14029;8337;5761;17879;20444;20880;19851;19468;18051;18652;22168;21254;33734;36619
31.12.2024;05914;Hagen, kreisfreie Stadt;2841;3023;4035;4913;2999;2089;5353;5788;6322;6433;6138;5630;5895;7508;7144;9818;7799;2717;2950;3828;4592;2805;1857;5322;5809;5921;5926;5610;5348;5915;7434;7214;11069;12339
31.12.2024;05915;Hamm, kreisfreie Stadt;2430;2675;3619;4408;2858;2027;5654;6049;6067;5949;5660;5653;5870;6743;6466;9431;7583;2376;2464;3572;4291;2702;1789;4917;5133;5366;5653;5696;5478;5850;6802;6583;11050;11104
31.12.2024;05916;Herne, kreisfreie Stadt;2272;2356;3204;3843;2357;1658;4367;5068;5212;5089;4713;4419;5165;6059;5869;8172;6573;2127;2227;2931;3555;2186;1416;4315;4702;4888;4858;4773;4708;5207;5984;5887;9420;10271
31.12.2024;05954;Ennepe-Ruhr-Kreis;4013;4422;6075;7027;4192;2878;7469;8824;9396;9781;9439;8375;9591;13432;12932;18644;15571;3838;4263;5732;6723;4036;2656;6921;8242;9217;9701;9658;8957;10189;14064;13555;21241;23113
31.12.2024;05958;Hochsauerlandkreis;3359;3699;4950;6027;3905;2714;6941;7672;8329;8394;7843;7126;8825;11384;11123;15902;12033;3218;3452;4773;5641;3508;2428;5777;6489;7263;7759;7630;7386;8541;11223;11154;17045;17330
31.12.2024;05962;M�rkischer Kreis;5269;6184;8179;9821;6256;4278;10379;11317;12603;13220;12486;11416;12731;17833;17355;23464;18516;4927;5627;7725;9208;5731;3853;9105;10124;11850;12522;12361;11828;13344;17764;17284;25773;27713
31.12.2024;05966;Olpe, Landkreis;1771;1910;2677;3229;2054;1380;3657;3994;4301;4386;4224;3847;4332;5998;5503;7727;5437;1727;1887;2518;3037;1827;1189;2926;3163;3873;4149;4092;3877;4406;5780;5593;8127;7748
31.12.2024;05970;Siegen-Wittgenstein, Landkreis;3794;4132;5632;6712;4084;2813;7648;9134;9328;9230;8620;7888;8337;10916;10667;15638;11976;3420;3864;5272;6097;3595;2462;6910;7796;8156;8712;8424;7721;8351;10868;11050;17531;17296
31.12.2024;05974;Soest, Landkreis;3903;4350;5925;7150;4523;3090;7947;8627;9422;9937;9536;8825;9821;12833;12353;17780;13280;3639;4157;5706;6841;4338;2703;6734;7367;8675;9096;9244;8704;9912;12836;12634;19364;19045
31.12.2024;05978;Unna, Landkreis;5290;5679;7667;9068;5883;3820;9728;10826;11841;12464;12235;11539;12283;16080;15796;23628;18443;4866;5315;7389;8683;5282;3436;8538;9834;11252;12513;12219;11895;13023;16825;16697;26792;26955
31.12.2024;06411;Darmstadt, kreisfreie Stadt;2147;2361;3082;3767;2321;2053;8434;9929;7748;6243;5230;4546;4578;5406;4838;6725;5922;2070;2173;2898;3561;2140;1674;6384;7302;6431;5666;5167;4740;4649;5379;5099;7798;8568
31.12.2024;06412;Frankfurt am Main, kreisfreie Stadt;11050;11040;14528;17213;10103;7320;22390;31691;33718;31481;27867;25424;25067;26956;22291;29046;24050;10680;10600;14445;17010;10060;7011;23376;32666;34452;31163;28753;26050;24294;25013;21823;32570;34820
31.12.2024;06413;Offenbach am Main, kreisfreie Stadt;2181;2113;2667;3199;1904;1361;4075;5231;5594;5696;5090;4566;4512;4836;4271;5207;4202;2064;1999;2638;3147;1943;1312;3890;5109;5333;5156;4781;4445;4002;4386;3936;5702;6198
31.12.2024;06414;Wiesbaden, kreisfreie Stadt;4119;4160;5687;7106;4499;3034;8587;10042;9991;9874;9408;8954;9314;10884;9581;12717;11936;3923;4018;5498;6699;4195;2830;8886;9922;10047;9904;10066;9626;9615;10822;10087;15134;17685
31.12.2024;06431;Bergstra�e, Landkreis;3568;4242;5423;6552;3965;2815;6742;7490;8140;8891;8620;8006;8556;11513;11465;16328;13183;3316;3916;5365;6316;3701;2374;5699;6578;7748;8830;8836;8159;9086;11696;11586;17441;18023
31.12.2024;06432;Darmstadt-Dieburg, Landkreis;3911;4474;6246;7671;4652;3178;7931;8423;8980;9747;9847;9233;9762;12869;12038;16733;13846;3669;4276;6157;7288;4314;2844;6725;7293;8441;9640;10206;9629;9996;12824;12223;18454;18501
31.12.2024;06433;Gro�-Gerau, Landkreis;4057;4266;5990;6972;4286;2897;7823;8312;8703;9486;9394;8534;9039;10999;9838;12832;10866;3740;4064;5614;6657;3958;2620;6472;7196;8263;9213;9416;8933;8560;10295;9529;14206;15280
31.12.2024;06434;Hochtaunuskreis;2766;3454;5258;6702;4160;2598;5793;5982;6144;6939;7550;7723;8263;10353;9113;12019;12399;2701;3271;4838;6185;3697;2364;4855;5099;6086;7350;8521;8443;8854;10341;9590;13972;18281
31.12.2024;06435;Main-Kinzig-Kreis;5803;6414;8761;10265;6339;4278;10908;12345;13227;13966;13589;12806;13687;16961;15965;23267;19442;5760;6146;8214;9599;5886;3877;9577;10766;12307;13846;13622;12957;14034;17381;16637;25710;26572
31.12.2024;06436;Main-Taunus-Kreis;3206;3603;5057;6293;3994;2687;5979;6193;6885;7511;7900;7819;8210;10333;8901;11376;11333;2959;3466;4903;5955;3696;2350;4908;5481;6601;7617;8641;8159;8537;10154;8902;13230;15936
31.12.2024;06437;Odenwaldkreis;1234;1315;1867;2117;1310;899;2255;2419;2722;2931;2784;2664;3016;3833;3947;6200;4801;1068;1267;1668;2070;1298;876;1907;2092;2513;2871;2790;2721;3155;3948;4131;6614;6543
31.12.2024;06438;Offenbach, Landkreis;5014;5531;7743;8912;5644;3783;9508;10474;11082;11930;11906;11337;11829;13981;12739;18220;16647;4780;5241;7295;8451;5016;3506;8433;9608;10817;11831;12323;11545;11746;14270;13363;20354;23163
31.12.2024;06439;Rheingau-Taunus-Kreis;2215;2481;3690;4472;2932;1991;4670;4697;4969;5355;5756;5352;6063;8218;7545;10842;9642;2084;2419;3372;4212;2617;1789;3960;4176;4687;5453;5976;5870;6464;8516;7933;12140;13093
31.12.2024;06440;Wetteraukreis;4086;4568;6286;7637;4861;3415;8264;8795;9321;10220;9876;9524;10163;13104;12196;17309;14313;3859;4450;6089;7335;4352;2974;6617;7502;8927;10152;10442;10018;10560;13287;12431;18929;19731
31.12.2024;06531;Gie�en, Landkreis;3551;3925;5176;5974;3683;2813;9188;11172;10056;9384;8278;7140;7621;9427;9545;14123;10971;3369;3748;5068;5841;3573;2754;10590;10608;8969;8610;7827;7252;7752;9544;10009;15654;15223
31.12.2024;06532;Lahn-Dill-Kreis;3302;3779;5216;6314;3968;2783;6680;7377;7804;8286;7874;7360;7870;10375;10202;14830;11428;3213;3558;4918;5821;3490;2365;5614;6335;7293;7994;7894;7530;8364;10657;10615;16366;16599
31.12.2024;06533;Limburg-Weilburg, Landkreis;2245;2428;3421;4023;2658;1927;4676;5168;5229;5678;5390;5069;5569;7186;7230;10453;7777;2215;2404;3368;4060;2456;1641;3956;4333;4901;5505;5327;5048;5591;7437;7339;11213;10909
31.12.2024;06534;Marburg-Biedenkopf, Landkreis;3087;3379;4530;5606;3521;2665;8433;9016;8256;7869;7254;6879;7259;9026;9172;13238;9806;2807;3138;4497;5419;3372;2772;9618;8279;7565;7382;7249;6881;7663;9127;9484;14314;14242
31.12.2024;06535;Vogelsbergkreis;1299;1398;1839;2229;1399;987;2294;2601;2821;3112;3089;2875;3273;4124;4412;7377;5121;1212;1271;1819;2157;1369;933;1944;2160;2485;2880;2901;2901;3314;4259;4693;7557;7058
31.12.2024;06611;Kassel, kreisfreie Stadt;2798;2721;3645;4401;2752;2017;6078;8457;8151;7118;6276;5363;5550;6841;6510;9298;7957;2591;2860;3759;4269;2723;2045;7064;8062;7194;6538;6023;5517;5873;6958;6841;10799;12181
31.12.2024;06631;Fulda, Landkreis;3064;3286;4466;5385;3286;2349;6380;7379;7388;7328;6899;6209;7003;8899;8634;12635;10017;2846;3158;4227;5221;3071;2265;5870;6316;6509;6774;6601;6253;7290;8811;8769;13477;14218
31.12.2024;06632;Hersfeld-Rotenburg, Landkreis;1541;1662;2397;2807;1743;1266;2744;3123;3386;3622;3622;3354;3908;4751;4905;7430;6109;1419;1589;2127;2624;1580;1087;2516;2663;3016;3473;3420;3324;3917;4749;4907;8204;8429
31.12.2024;06633;Kassel, Landkreis;2856;3364;4597;5438;3255;2204;5369;5819;6387;7270;7014;6217;7365;9752;9295;14370;12684;2677;3157;4384;4990;3073;2072;4682;5115;6173;6980;7069;6578;7685;10131;9905;15826;17320
31.12.2024;06634;Schwalm-Eder-Kreis;2137;2547;3446;4198;2578;1860;4541;5013;5432;5897;5713;5193;5821;7575;7730;11399;8943;2094;2295;3335;4165;2414;1649;3670;4063;4900;5504;5395;5225;5934;7571;7653;12106;12075
31.12.2024;06635;Waldeck-Frankenberg, Landkreis;1990;2112;3075;3654;2376;1692;4011;4536;4630;4839;4567;4235;4821;6614;6708;9805;7378;1852;2005;2822;3481;2228;1399;3387;3708;4265;4400;4493;4567;5212;6521;6758;10515;10470
31.12.2024;06636;Werra-Mei�ner-Kreis;1177;1360;1889;2094;1310;891;2484;2756;2831;2985;2784;2605;3136;4042;4263;6530;5247;1083;1158;1628;2061;1236;819;1931;2230;2543;2779;2802;2674;3294;4205;4378;7115;7375
31.12.2024;07111;Koblenz, kreisfreie Stadt;1401;1460;2026;2494;1517;1155;3556;5229;4983;4205;3604;3197;3110;3916;3806;5529;4962;1375;1379;1930;2211;1349;986;3805;4546;4072;3641;3383;3099;3085;3973;3874;6630;7890
31.12.2024;07131;Ahrweiler, Landkreis;1669;1851;2422;2803;1708;1116;3055;3588;3948;4230;3991;3540;3744;5460;5573;8338;6819;1590;1833;2319;2830;1564;1076;2663;3170;3768;3838;3846;3538;3976;5554;5529;8714;9690
31.12.2024;07132;Altenkirchen (Westerwald), Landkreis;1776;2053;2769;3280;1973;1348;3202;3723;4226;4327;4117;3733;4148;5492;5499;8192;5705;1690;2040;2637;3088;1831;1256;2735;3164;3875;4111;3966;3642;4215;5438;5639;8768;8467
31.12.2024;07133;Bad Kreuznach, Landkreis;2022;2453;3297;4042;2467;1620;3963;4318;5046;5238;5140;4603;5048;6726;6766;10230;7866;1963;2287;3094;3746;2267;1403;3488;3936;4653;5183;5155;4778;5333;6900;7138;11588;10991
31.12.2024;07134;Birkenfeld, Landkreis;1066;1123;1557;1883;1255;824;2191;2343;2602;2554;2500;2251;2467;3127;3475;5622;3938;1056;1093;1449;1795;1109;735;1810;2086;2322;2425;2404;2237;2590;3441;3646;6061;5574
31.12.2024;07135;Cochem-Zell, Landkreis;747;847;1180;1354;864;637;1634;1649;1897;1831;1810;1623;1930;2708;2791;4206;3106;707;768;1086;1209;804;493;1295;1380;1591;1759;1699;1683;2116;2748;2788;4381;4287
31.12.2024;07137;Mayen-Koblenz, Landkreis;2875;3228;4459;5165;3097;2147;5519;6074;6941;7236;6987;6181;6634;8873;8838;13388;9762;2698;3053;4326;4872;2945;1909;4846;5433;6379;7061;6892;6431;6828;9098;9058;14473;13522
31.12.2024;07138;Neuwied, Landkreis;2621;3046;3988;4612;2810;1897;4909;5278;5773;6183;5767;5189;5691;7787;7822;11489;8632;2535;2882;3754;4291;2644;1783;4246;4775;5501;5936;5799;5291;5903;7702;7961;12301;12263
31.12.2024;07140;Rhein-Hunsr�ck-Kreis;1340;1613;2192;2451;1624;1023;2631;2888;3200;3557;3265;3060;3388;4416;4515;7029;4891;1350;1512;1987;2422;1348;946;2258;2448;2994;3356;3277;3031;3435;4484;4774;7319;6681
31.12.2024;07141;Rhein-Lahn-Kreis;1566;1886;2518;2967;1843;1190;3003;3342;3691;4097;4031;3651;4039;5281;5333;7885;5969;1451;1711;2440;2834;1707;1129;2540;2842;3505;3916;3960;3650;4001;5171;5332;8704;8403
31.12.2024;07143;Westerwaldkreis;2698;3188;4415;4946;3141;2048;5013;5390;6446;7034;6690;6060;6728;8829;8898;12588;9012;2555;3039;4067;4809;2916;1850;4395;5071;6193;6820;6496;6055;6978;8813;8869;13242;12511
31.12.2024;07211;Trier, kreisfreie Stadt;1239;1235;1903;2234;1431;1073;3816;4940;4522;3847;3487;3014;2892;3546;3282;5025;3677;1276;1325;1758;2107;1237;1045;4350;4446;3888;3458;3315;3026;2982;3611;3622;5792;5941
31.12.2024;07231;Bernkastel-Wittlich, Landkreis;1400;1642;2208;2712;1559;1128;2804;3013;3499;3646;3536;3305;3715;4749;4907;7518;5235;1365;1555;2034;2459;1583;972;2416;2723;3052;3346;3463;3298;3750;4693;4857;7779;7266
31.12.2024;07232;Eifelkreis Bitburg-Pr�m;1372;1514;2210;2606;1596;1046;2504;2873;3267;3238;3321;2906;3068;4062;4148;6303;4161;1254;1401;1956;2218;1371;893;2009;2559;3047;3247;3163;2916;3324;4270;4387;6159;5419
31.12.2024;07233;Vulkaneifel, Landkreis;735;798;1081;1320;776;589;1317;1659;1765;1959;1714;1666;1734;2482;2674;4401;3053;699;758;1044;1287;741;477;1182;1420;1618;1696;1714;1646;1877;2533;2703;4300;3895
31.12.2024;07235;Trier-Saarburg, Landkreis;1775;2215;3119;3729;2402;1553;3601;3881;4527;4887;4961;4500;4810;6353;6118;9259;6257;1760;2100;2896;3627;2119;1312;2991;3431;4335;4907;5012;4701;5019;6331;6291;9521;8653
31.12.2024;07311;Frankenthal (Pfalz), kreisfreie Stadt;661;738;1026;1222;691;477;1313;1513;1586;1683;1622;1536;1474;1827;1717;2542;2282;621;664;1010;1108;656;434;1055;1281;1410;1548;1451;1367;1431;1797;1780;3085;3532
31.12.2024;07312;Kaiserslautern, kreisfreie Stadt;1335;1249;1675;2145;1353;974;3733;5491;4496;3472;2949;2636;2694;3485;3644;5233;4091;1322;1224;1706;2024;1235;914;3086;3826;3378;2994;2949;2756;2859;3471;3731;6038;6258
31.12.2024;07313;Landau in der Pfalz, kreisfreie Stadt;679;657;932;1035;657;433;1398;1922;1843;1642;1459;1246;1389;1746;1726;2587;1903;580;679;859;940;629;493;2143;1994;1683;1590;1421;1271;1472;1853;1811;2769;2768
31.12.2024;07314;Ludwigshafen am Rhein, kreisfreie Stadt;2742;2802;3851;4632;2751;1928;5594;6608;6799;6764;6235;5675;5749;6777;6164;8006;6768;2694;2781;3732;4415;2631;1798;4879;5603;5869;5949;5611;5224;5371;6098;5869;8969;9884
31.12.2024;07315;Mainz, kreisfreie Stadt;3010;2680;3731;4502;2789;2074;8535;11455;10317;8640;7225;6274;6400;7526;6650;9289;8401;2847;2949;3783;4413;2753;2259;10696;11707;9649;8018;7263;6379;6182;6863;6645;10776;12004
31.12.2024;07316;Neustadt an der Weinstra�e, kreisfreie Stadt;714;813;1127;1226;766;542;1218;1397;1579;1729;1570;1323;1487;2080;2137;3307;2719;628;705;1009;1144;659;444;1131;1362;1617;1642;1604;1408;1618;2225;2344;3687;3984
31.12.2024;07317;Pirmasens, kreisfreie Stadt;538;526;780;883;603;424;1071;1348;1294;1299;1172;1048;1135;1553;1602;2535;1843;507;534;683;843;542;324;991;1111;1118;1203;1054;1045;1139;1481;1767;2712;3053
31.12.2024;07318;Speyer, kreisfreie Stadt;663;664;929;1110;688;557;1274;1497;1592;1626;1492;1394;1480;1968;1974;2882;2309;631;582;843;1056;634;435;1080;1377;1490;1454;1496;1491;1679;2081;2046;3475;3615
31.12.2024;07319;Worms, kreisfreie Stadt;1190;1339;1892;2199;1392;949;2605;3010;3121;2979;2840;2636;2712;3285;3178;4724;3472;1103;1232;1805;2033;1188;890;2417;2413;2784;2877;2810;2675;2786;3075;3199;5051;4892
31.12.2024;07320;Zweibr�cken, kreisfreie Stadt;432;438;630;746;473;319;916;1116;1069;1111;1013;909;976;1281;1366;2116;1614;421;442;632;776;472;303;781;854;954;1049;1054;986;948;1218;1340;2303;2265
31.12.2024;07331;Alzey-Worms, Landkreis;1868;2104;2779;3282;1919;1265;3333;3297;3860;4482;4349;3912;4130;5427;5423;8382;5302;1704;2101;2756;3075;1764;1178;2777;3052;3736;4301;4157;3973;4212;5587;5598;8948;7205
31.12.2024;07332;Bad D�rkheim, Landkreis;1643;1898;2497;2983;1894;1220;2787;3099;3660;4163;4030;3863;4197;6027;6058;8969;6976;1594;1881;2572;2878;1716;1126;2478;2829;3645;4049;4162;3874;4469;5873;6135;9606;9478
31.12.2024;07333;Donnersbergkreis;902;1075;1503;1800;1095;733;1808;1888;2114;2437;2234;2222;2324;3145;3317;5174;3256;905;1064;1434;1729;1053;707;1507;1640;2052;2301;2270;2187;2464;3172;3418;5359;4494
31.12.2024;07334;Germersheim, Landkreis;1732;2132;2843;3195;2045;1384;3276;3626;3945;4507;4436;3911;4300;5387;5362;7949;5446;1722;1970;2622;3028;1817;1165;2934;3339;3924;4414;4481;3976;4338;5376;5317;8196;7288
31.12.2024;07335;Kaiserslautern, Landkreis;1784;1634;2232;2755;1613;1114;2575;2589;2973;3441;3211;2961;3228;4207;4532;6922;4489;1695;1575;2174;2518;1492;915;2150;2454;3092;3514;3378;3107;3310;4164;4569;7391;6585
31.12.2024;07336;Kusel, Landkreis;964;953;1348;1498;944;645;1749;1839;1980;2150;2049;1906;2103;2904;3134;5180;3223;918;925;1211;1490;852;614;1355;1487;1912;2034;1990;1895;2235;2855;3171;5273;4548
31.12.2024;07337;S�dliche Weinstra�e, Landkreis;1334;1664;2319;2636;1597;1032;2591;2701;3180;3590;3595;3158;3526;4810;5027;7435;5414;1260;1550;2112;2583;1424;915;2146;2482;3056;3504;3482;3281;3689;5117;5251;8101;7469
31.12.2024;07338;Rhein-Pfalz-Kreis;2080;2487;3539;3888;2283;1394;3549;3666;4409;5066;5108;4693;4767;6252;6645;9293;7632;2016;2372;3251;3693;2068;1305;2997;3256;4238;4996;5128;4605;4912;6564;6827;10243;10660
31.12.2024;07339;Mainz-Bingen, Landkreis;2684;3149;4390;5330;3213;2136;4953;5121;5505;6284;6791;6210;6953;8923;8435;12417;9174;2589;2984;4169;4975;2935;1943;4112;4346;5452;6675;7146;6662;7152;8981;8759;13316;12590
31.12.2024;07340;S�dwestpfalz, Landkreis;1124;1170;1669;1901;1120;782;1908;2054;2459;2791;2541;2385;2756;3977;4260;6579;4778;1068;1144;1540;1850;1066;664;1582;1875;2464;2639;2602;2410;2935;4025;4342;7033;6481
31.12.2024;08111;Stuttgart, kreisfreie Stadt;8086;8417;11207;13549;8437;6156;20118;27007;27028;24421;21242;19424;19641;20969;18906;25022;25095;7572;8057;10466;12868;7782;5713;20098;25847;25897;22731;21015;19307;19053;20071;18673;27749;35039
31.12.2024;08115;B�blingen, Landkreis;5876;6549;8661;10029;6038;4078;10031;11839;13059;14260;13455;12384;12951;15512;14395;19341;17831;5724;6231;8298;9719;5696;3596;8996;10863;12813;13686;13411;12456;12715;14890;14170;21445;24169
31.12.2024;08116;Esslingen, Landkreis;7551;8264;10730;12821;8024;5579;15318;17771;18525;18521;17633;16323;17673;21295;20152;26452;24851;7134;7931;10268;12360;7493;5063;12769;15130;16824;17544;17398;16665;17716;21216;19903;29457;34247
31.12.2024;08117;G�ppingen, Landkreis;3575;4028;5488;6356;3814;2695;7115;7822;8352;8667;8272;7506;8167;10272;10110;14074;12084;3488;3815;5265;6115;3666;2422;6010;6718;7714;8226;8193;7553;8387;10246;9973;15514;17107
31.12.2024;08118;Ludwigsburg, Landkreis;7940;8632;11428;13464;8256;5382;14052;16281;17829;18646;17704;16680;17363;21706;19676;26227;23171;7668;7993;10941;12793;7756;4884;12550;14721;17155;18343;18039;17114;17757;20807;19453;29728;33235
31.12.2024;08119;Rems-Murr-Kreis;6101;6770;9170;10614;6444;4580;11766;13187;14231;14784;14133;13190;14282;18062;17398;22913;20636;5807;6686;8783;10355;6160;4160;10375;11849;13384;14039;13921;13213;14497;17884;17325;25324;28673
31.12.2024;08121;Heilbronn, kreisfreie Stadt;1966;2047;2725;3372;2047;1553;4946;5718;5452;5074;4405;4073;4152;4498;4162;5567;5076;1786;1987;2650;3040;1911;1397;3706;4163;4561;4592;4395;4144;4069;4161;4142;6647;7802
31.12.2024;08125;Heilbronn, Landkreis;5250;5986;7918;8972;5364;3712;9449;10755;11671;12589;12048;10987;11450;14055;13593;18822;14491;4983;5662;7129;8271;4987;3058;8162;9402;10877;11881;11503;10725;11611;14136;13801;20605;19972
31.12.2024;08126;Hohenlohekreis;1623;1911;2423;2908;1884;1221;3297;3751;3839;4180;3879;3406;3760;4545;4609;6480;4614;1638;1768;2254;2605;1572;1067;2811;3085;3619;3679;3462;3333;3873;4508;4590;7032;6418
31.12.2024;08127;Schw�bisch Hall, Landkreis;2940;3168;4360;4889;2931;2153;5682;6503;6883;7379;6827;6084;6334;7740;7670;11327;7918;2847;3181;4244;4906;2976;1992;4738;5327;6058;6656;6436;5833;6410;7801;7742;12217;10750
31.12.2024;08128;Main-Tauber-Kreis;1794;2039;2658;3136;1901;1299;3492;3813;4230;4423;4192;3808;4185;5504;5305;8462;6300;1632;1867;2412;2853;1832;1227;2917;3191;3676;3963;3956;3768;4328;5425;5601;9126;8854
